"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Comoros","COM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","0","0","0","0","0","2","4","9","13","19","27","41","58","79","185","106","106","270","399","410","573","1975","2244","3335","3910","6756","6986","7000","7937","9324","9708","10520","17892","20546","24708","24038","19962","25765","27059","24754.30078125","26839","27713.5","27287","30352","26765.5","22502.5","20820","20820","20820","","",
"Caribbean small states","CSS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","38","25","20","32","135","162","382","1019","1692","2408","2901","3783","3647","3415","3669","4109","4329","4785","4787","5140","5479","8277","9129","10064","11644","14092","16897.5","17743.5","16597.7430000305","9652.99000263214","10911.1300020218","11544.8399925232","11970.8001995087","6663.15000534058","6928.97815227509","8373.10001468658","8632.17625677586","5444.83998179436","2652.33998334408","2808.26800596714","2697.18001461029","","",
"Cuba","CUB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","20","80","220","350","460","570","680","810","1040","1310","1320","1690","1990","2309","2977","3779","4145","4383","4637","4626","5578","5768","6036","8174","8261","10977","12774","16273","22276","36354","36367","39603","40166","32780","25569","27044","26897","27562","22635","27210","37526","36685","36002","31422","24597.80078125","26179.19921875","29577.69921875","31282.599609375","32056","29185","31210","28628","","",
"Curacao","CUW","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","0","0","0","0","41","31","31","31","31","31","31","36","46","50","60","56","57","50","59","84","125","127","155","259","291","452","787","969","1178","1422","1878","1883","1862","1821","2445","2436","2787","2450","2887","3415.5","4115.7998046875","4666.97998046875","4333.7099609375","5339.10009765625","4835.10009765625","5458.56005859375","6624.9599609375","7275.10986328125","7347.0400390625","","",
"Czech Republic","CZE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20242","18655","18679","18200","17560","17231","18775","19475","20098","19210","19670","19384","20455","20431","20447","20395","20071","20420","21010","20763","19357.400390625","20135","20200","20952","21685","21751","","",
"Germany","DEU","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","19810","16670","12520","12680","13830","14490","19950","20600","22160","19814","23477","20636","25103","29169","35783","39380","44071","36230","35893","25703","38789","35543","52616","70965","97785","61134","70235","66828","72005","66618","64435","74692","96654","69500","48852","64096","83237","65433","73020","79567","65891","53409","49852","74280","57233","44685","35379","44994","43977","38907","40694","39141","26360","25289","26032","29909","41801","35979","34196","","",
"Djibouti","DJI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","6","3","3","4","4","5","5","5","7","12","13","13","18","19","24","24","24","24","11","6","6","6","6","6","6","0","0","","",
"Denmark","DNK","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","6045","7538","7700","7824","8263","10809","10135","10638","12178","11147","9272","11910","13914","13176","12190","15188","14149","13633","16060","17118","18555","21202","21655","25363","23609","24244","24402","25851","28659","33059","41946","42098","43264","39739","42892","44730","41924","39697","42368","42670","43609","41573","32026","37772","42814","39012","37188","31168","36066","35130.3984375","36175","35918","34585.5390625","37707.19921875","34382.19921875","35866.69921875","36337","37498","36453","","",
"Dominican Republic","DOM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","3","50","193","301","323","277","221","280","615","815","1347","3982","2206","789","677","810","748","2125","2647","3554","1944","2000","980","980","1080","1080","1230","1280","2147.89990234375","1031.80004882813","1505","2180.5","2235","1985","2450","2500","","",
"Algeria","DZA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","95","141","250","274","304","368","407","150","147","300","389","369","322","322","283","250","351","454","476","417","586","368","288","405","2779.916015625","2163.23193359375","1758.74194335938","2245.77001953125","2644.001953125","2192.88110351563","2410.97290039063","1332.98999023438","1376","1416","5100.1201171875","","",
"East Asia & Pacific (excluding high income)","EAP","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","1182276","1021573","995295","1124866","1296096","1448466","1642315","1660914","1703913","1941014","1944182","2289028","2477078","2348823","2573889","2801752","2845006","3638066","3941805","3946264","4335343","4371379","4668197","5250711","6081966","6955852","7680617","8788798","10008031","10965043","11105587","12569046","15341780.8999023","18680441.0340576","21658627","24755441","27217452","27102391","29106138","31851251.0195313","33905501","35705322","38274474","40634242","44051427.6999512","47041758.3000488","49934806.5999756","52837220.0999756","55792014.9499512","59136101.6235962","62703306.2374878","65794468.1500854","70831655.7549033","77114268.8624916","80579616.2363385","84090467.9234983","87406022.8887501","89870083.0800867","90788346.9289021","","",
"Early-demographic dividend","EAR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","250769","264503","274795","283773","298833","310648","328116","345670","381834","397948","420188","450596","477248","516505","571545","605367","654852","724927","843439","939054","1087010","1210130","1339509","1512887","1630186","1770821","1894107","2191506","2435714","2627883","2791389","3090311","3382563","3533318","3770609","4115852","4530410","4686566","4889276","5430792","5564256","6123486","6603444","7231296","8564267.19995117","9819611.91880035","10882328.7999763","11753229.0511513","13644283.7624283","14777544.3070374","17091668.7720296","19113309.0808604","21660016.0692434","25921159.5903168","27657542.8507047","29589034.7761625","30754529.8186321","31810228.2080774","31937306.9307833","","",
"East Asia & Pacific","EAS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","1566799","1452098","1466861","1683131","1832605","1998775","2244844","2337102","2451890","2615775","2749797","3192508","3442637","3592384","3994769","4142412","4339126","5232585","5527637","5611121","6159881","6350455","6548808","7319570","8243774.5","9212426.70600128","10227915.1040039","11245675.25","12687780","13496780.125","13661964","15084800.625","18036081.8999023","21465491.0810547","24543360.960022","27555654.1989746","29850397.1300049","29870753.6879883","31579620.1260376","34341529.5915527","36251912.7919922","38122884.7739624","40939011.9660645","43277144.5579834","46744171.7529297","49825070.1281738","52929419.0010498","56027453.6668701","58888680.2092285","62189965.3441734","65743207.4106731","68724358.4514923","73955125.4058928","80212468.0402313","83707629.1496312","87376740.269578","90804819.4852112","93732055.0535982","94599208.2446256","","",
"Europe & Central Asia (excluding high income)","ECA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","14660","15380","14800","14420","18260","19130","18920","24950","20610","21550","24850","27770","33840","33353","40069","39359","44606","44410","44380","46073","47885","53731","60736","48268","63110","56882","64922","58498","383257","405669","463982","293503","258282","241702","195249","174129","154243","169330","181378","200983","218259","216023","226268.759765625","250980.099609375","264744.399215698","300522","302975.049804688","337049.799804688","363033.720214844","377050.578033447","388740.367980957","416774.594238281","466944.249847412","510923.998626709","528946.475311279","533788.350341797","576572.848388672","623041.503417969","688703.604736328","","",
"Europe & Central Asia","ECS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","261934","279060","325424","333898","359826","375837","355332","359314","405595","421634","472162","462284","559283","556672","586590","639914","620374","693358","732189","707372","730339","797569","862011","887447","903543","990333","1022837","1049738","1438686","1495156","1627793","1481996","1392890","1403206","1515927","1627416","1711454","1803809","1984332","2141310","2139974","2163100","2108011.75976563","2244610.09960938","2269426.3992157","2257248","2329865.23730469","2516668.20605469","2491943.77880859","2691913.83739624","2708483.21947022","2858710.98430786","3071282.13664624","3005843.57216919","3187962.91989136","3241090.38634033","3261461.75583496","3364659.68499756","3470098.24749756","","",
"Ecuador","ECU","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","10","50","50","200","513","1030","1591","2155","3552","4113","5009","9565","12554","22016","36273","34225","30876","44339","70099","75631","71211","77730","107145","116694","87763","89096","106223","108880","134497","145790","126575","61311","57587","77636","95278","108673","138562","169588","171020","173222","219463","272720.8125","309702","322655","332382","368457","426660.40625","451339.875","469755","539755","","",
"Egypt, Arab Rep.","EGY","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","4600","5200","5200","6000","7000","6200","5900","5600","5600","5900","6000","7000","8000","9000","9000","9000","11000","13000","15000","17000","19000","21000","24000","25000","27000","41846","45500","46400","52200","60500","61916","61617","63895","51210","56603","71815","91137","85704","139389","226276","340093","342864","376296","445181","471535","539748","595030","635516","693815","705490","919585","986820","1017738","1097544","1137091","1174831","1370660","1451841","1561457","","",
